URL,Page Type,Target City,Primary Keyword,Secondary Keywords,Long-Tail Keywords,Search Intent,Title Tag Score,Content Score,Schema Score,Internal Linking Score,Local Relevance Score,GBP Alignment Score,Page Speed Score,Mobile Score,AEO Score,GEO Score,Technical SEO Score,EEAT Score,Conversion Score,Priority,Recommended Actions
/,homepage,Treasure Valley,Boise Remodeling Contractor,Design-Build Remodeling Boise; Home Remodeling Treasure Valley; Remodeling Company Boise,best design-build remodeling contractor in Boise Idaho; kitchen and bathroom remodeling company Treasure Valley,Commercial / Brand,6,8,7,8,7,3,8,8,7,6,9,4,9,Critical,"Retitle to ""Remodeling Contractor Boise ID | Design-Build | Boise Remodeling Co""; add aggregateRating once reviews exist; add founder Person to schema; link GBP in sameAs"
/about,static,Treasure Valley,About Boise Remodeling Co,,,Brand / Trust,8,6,7,6,6,3,8,8,6,5,9,3,7,Critical,"Add founder (Jared Brost) bio + photo, team section, license/insurance specifics, year-by-year history; this page gates sitewide EEAT"
/areas,static,Treasure Valley,Remodeling Service Areas Treasure Valley,,,Commercial / Local,8,6,7,6,7,3,8,8,6,5,9,4,7,Medium,"Add county grouping, ZIP coverage, and a service-area map embed consistent with GBP service area"
/contact,static,Treasure Valley,Contact Remodeling Contractor Boise,,,Transactional,8,6,7,6,6,3,8,8,6,5,9,4,9,Medium,Add GBP link once verified; surface hours matching schema; keep NAP exact-match with GBP
/testimonials,static,Treasure Valley,Boise Remodeling Co Reviews,,,Commercial Investigation,8,5,8,6,6,3,8,8,6,5,9,5,7,High,"Only 4 undated testimonials; add dates, cities, project types; embed Google reviews once GBP is live; activates aggregateRating"
/blog,static,Treasure Valley,Remodeling Blog Boise,,,Navigational,8,6,7,6,6,3,8,8,6,5,9,4,7,Low,Adequate index; add hub descriptions
/guides,static,Treasure Valley,Boise Remodeling Guides,,,Navigational,8,6,7,6,6,3,8,8,6,5,9,4,7,Low,Adequate index
/resources,static,Treasure Valley,Remodeling Planning Resources Boise,,,Informational,8,6,7,6,6,3,8,8,6,5,9,4,7,Low,Adequate; add more downloadable resources over time
/resources/ada-canyon-permit-flow,static,Treasure Valley,Ada County vs Canyon County Remodeling Permits,,,Informational / Local,8,7,7,6,8,3,8,8,7,7,9,4,7,Medium,Strong local asset; add current fee schedules + review timelines with dates; most citation-worthy page on site
/privacy-policy,static,Treasure Valley,n/a,,,Legal,8,6,7,6,3,3,8,8,2,2,9,4,3,Low,No action
/terms-of-service,static,Treasure Valley,n/a,,,Legal,8,6,7,6,3,3,8,8,2,2,9,4,3,Low,No action
/services/kitchen-remodel,service,Treasure Valley,Kitchen Remodeling Boise,Kitchen Remodel Contractor Treasure Valley; Kitchen Remodel Company Boise; Kitchen Remodeling Idaho,how much does a kitchen remodel cost in Boise; best kitchen remodel contractor Treasure Valley,Commercial,8,6,7,8,6,3,8,8,6,6,9,4,8,High,Expand to 600+ words with cost ranges and a comparison table; grow FAQs from 3 to 8; embed city-tagged proof; add direct-answer block
/services/bathroom-remodel,service,Treasure Valley,Bathroom Remodeling Boise,Bathroom Remodel Contractor Treasure Valley; Bathroom Remodel Company Boise; Bathroom Remodeling Idaho,how much does a bathroom remodel cost in Boise; best bathroom remodel contractor Treasure Valley,Commercial,8,6,7,8,6,3,8,8,6,6,9,4,8,High,Expand to 600+ words with cost ranges and a comparison table; grow FAQs from 3 to 8; embed city-tagged proof; add direct-answer block
/services/whole-home-remodel,service,Treasure Valley,Whole-Home Remodeling Boise,Whole-Home Remodel Contractor Treasure Valley; Whole-Home Remodel Company Boise; Whole-Home Remodeling Idaho,how much does a whole-home remodel cost in Boise; best whole-home remodel contractor Treasure Valley,Commercial,8,6,7,8,6,3,8,8,6,6,9,4,8,High,Expand to 600+ words with cost ranges and a comparison table; grow FAQs from 3 to 8; embed city-tagged proof; add direct-answer block
/services/room-addition,service,Treasure Valley,Room Addition Boise,Room Addition Contractor Treasure Valley; Room Addition Company Boise; Room Addition Idaho,how much does a room addition cost in Boise; best room addition contractor Treasure Valley,Commercial,8,6,7,8,6,3,8,8,6,6,9,4,8,High,Expand to 600+ words with cost ranges and a comparison table; grow FAQs from 3 to 8; embed city-tagged proof; add direct-answer block
/services/adu,service,Treasure Valley,ADU Builder Boise,ADU / Guest House Contractor Treasure Valley; ADU / Guest House Company Boise; ADU Builder Idaho,how much does a adu / guest house cost in Boise; best adu / guest house contractor Treasure Valley,Commercial,8,6,7,8,6,3,8,8,6,6,9,4,8,Critical,"Build ADU pillar guide (Boise ordinance, costs, types); expand page to 800+ words; add cost table, 8+ FAQs; embed proof"
/areas/boise,area,Boise,Remodeling Contractor Boise,Home Remodeling Boise Idaho; Boise Remodeling Company; Kitchen Remodel Boise,best home remodeling contractor in Boise Idaho; who remodels homes in Boise,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,5,7,High,"Deepen Boise page: housing-stock detail by neighborhood, ZIP coverage list, recent project narrative, city-specific cost note"
/areas/meridian,area,Meridian,Remodeling Contractor Meridian,Home Remodeling Meridian Idaho; Meridian Remodeling Company; Kitchen Remodel Meridian,best home remodeling contractor in Meridian Idaho; who remodels homes in Meridian,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,5,7,High,"Deepen Meridian page: housing-stock detail by neighborhood, ZIP coverage list, recent project narrative, city-specific cost note"
/areas/eagle,area,Eagle,Remodeling Contractor Eagle,Home Remodeling Eagle Idaho; Eagle Remodeling Company; Kitchen Remodel Eagle,best home remodeling contractor in Eagle Idaho; who remodels homes in Eagle,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,5,7,High,"Deepen Eagle page: housing-stock detail by neighborhood, ZIP coverage list, recent project narrative, city-specific cost note"
/areas/nampa,area,Nampa,Remodeling Contractor Nampa,Home Remodeling Nampa Idaho; Nampa Remodeling Company; Kitchen Remodel Nampa,best home remodeling contractor in Nampa Idaho; who remodels homes in Nampa,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,5,7,High,"Deepen Nampa page: housing-stock detail by neighborhood, ZIP coverage list, recent project narrative, city-specific cost note"
/areas/kuna,area,Kuna,Remodeling Contractor Kuna,Home Remodeling Kuna Idaho; Kuna Remodeling Company; Kitchen Remodel Kuna,best home remodeling contractor in Kuna Idaho; who remodels homes in Kuna,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,4,7,High,Deepen Kuna page AND collect Kuna-tagged testimonial/project (currently zero local proof); add housing-stock and ZIP detail
/areas/star,area,Star,Remodeling Contractor Star,Home Remodeling Star Idaho; Star Remodeling Company; Kitchen Remodel Star,best home remodeling contractor in Star Idaho; who remodels homes in Star,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,4,7,High,Deepen Star page AND collect Star-tagged testimonial/project (currently zero local proof); add housing-stock and ZIP detail
/areas/middleton,area,Middleton,Remodeling Contractor Middleton,Home Remodeling Middleton Idaho; Middleton Remodeling Company; Kitchen Remodel Middleton,best home remodeling contractor in Middleton Idaho; who remodels homes in Middleton,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,4,7,High,Deepen Middleton page AND collect Middleton-tagged testimonial/project (currently zero local proof); add housing-stock and ZIP detail
/areas/caldwell,area,Caldwell,Remodeling Contractor Caldwell,Home Remodeling Caldwell Idaho; Caldwell Remodeling Company; Kitchen Remodel Caldwell,best home remodeling contractor in Caldwell Idaho; who remodels homes in Caldwell,Commercial / Local,8,5,7,8,7,3,8,8,6,5,9,4,7,High,Deepen Caldwell page AND collect Caldwell-tagged testimonial/project (currently zero local proof); add housing-stock and ZIP detail
/services/kitchen-remodel/boise,city-service,Boise,Kitchen Remodeling Boise,Kitchen Remodel Contractor Boise; Kitchen Remodel Company Boise Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Boise Idaho; best kitchen remodel contractor in Boise,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Boise-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/kitchen-remodel/meridian,city-service,Meridian,Kitchen Remodeling Meridian,Kitchen Remodel Contractor Meridian; Kitchen Remodel Company Meridian Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Meridian Idaho; best kitchen remodel contractor in Meridian,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Meridian-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/kitchen-remodel/eagle,city-service,Eagle,Kitchen Remodeling Eagle,Kitchen Remodel Contractor Eagle; Kitchen Remodel Company Eagle Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Eagle Idaho; best kitchen remodel contractor in Eagle,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Eagle-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/kitchen-remodel/nampa,city-service,Nampa,Kitchen Remodeling Nampa,Kitchen Remodel Contractor Nampa; Kitchen Remodel Company Nampa Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Nampa Idaho; best kitchen remodel contractor in Nampa,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Nampa-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/kitchen-remodel/kuna,city-service,Kuna,Kitchen Remodeling Kuna,Kitchen Remodel Contractor Kuna; Kitchen Remodel Company Kuna Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Kuna Idaho; best kitchen remodel contractor in Kuna,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Kuna proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/kitchen-remodel/star,city-service,Star,Kitchen Remodeling Star,Kitchen Remodel Contractor Star; Kitchen Remodel Company Star Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Star Idaho; best kitchen remodel contractor in Star,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Star proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/kitchen-remodel/middleton,city-service,Middleton,Kitchen Remodeling Middleton,Kitchen Remodel Contractor Middleton; Kitchen Remodel Company Middleton Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Middleton Idaho; best kitchen remodel contractor in Middleton,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Middleton proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/kitchen-remodel/caldwell,city-service,Caldwell,Kitchen Remodeling Caldwell,Kitchen Remodel Contractor Caldwell; Kitchen Remodel Company Caldwell Idaho; Kitchen Remodeling Near Me,how much does a kitchen remodel cost in Caldwell Idaho; best kitchen remodel contractor in Caldwell,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Caldwell proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/bathroom-remodel/boise,city-service,Boise,Bathroom Remodeling Boise,Bathroom Remodel Contractor Boise; Bathroom Remodel Company Boise Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Boise Idaho; best bathroom remodel contractor in Boise,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Boise-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/bathroom-remodel/meridian,city-service,Meridian,Bathroom Remodeling Meridian,Bathroom Remodel Contractor Meridian; Bathroom Remodel Company Meridian Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Meridian Idaho; best bathroom remodel contractor in Meridian,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Meridian-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/bathroom-remodel/eagle,city-service,Eagle,Bathroom Remodeling Eagle,Bathroom Remodel Contractor Eagle; Bathroom Remodel Company Eagle Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Eagle Idaho; best bathroom remodel contractor in Eagle,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Eagle-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/bathroom-remodel/nampa,city-service,Nampa,Bathroom Remodeling Nampa,Bathroom Remodel Contractor Nampa; Bathroom Remodel Company Nampa Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Nampa Idaho; best bathroom remodel contractor in Nampa,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Nampa-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/bathroom-remodel/kuna,city-service,Kuna,Bathroom Remodeling Kuna,Bathroom Remodel Contractor Kuna; Bathroom Remodel Company Kuna Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Kuna Idaho; best bathroom remodel contractor in Kuna,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Kuna proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/bathroom-remodel/star,city-service,Star,Bathroom Remodeling Star,Bathroom Remodel Contractor Star; Bathroom Remodel Company Star Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Star Idaho; best bathroom remodel contractor in Star,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Star proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/bathroom-remodel/middleton,city-service,Middleton,Bathroom Remodeling Middleton,Bathroom Remodel Contractor Middleton; Bathroom Remodel Company Middleton Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Middleton Idaho; best bathroom remodel contractor in Middleton,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Middleton proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/bathroom-remodel/caldwell,city-service,Caldwell,Bathroom Remodeling Caldwell,Bathroom Remodel Contractor Caldwell; Bathroom Remodel Company Caldwell Idaho; Bathroom Remodeling Near Me,how much does a bathroom remodel cost in Caldwell Idaho; best bathroom remodel contractor in Caldwell,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Caldwell proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/whole-home-remodel/boise,city-service,Boise,Whole-Home Remodeling Boise,Whole-Home Remodel Contractor Boise; Whole-Home Remodel Company Boise Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Boise Idaho; best whole-home remodel contractor in Boise,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Boise-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/whole-home-remodel/meridian,city-service,Meridian,Whole-Home Remodeling Meridian,Whole-Home Remodel Contractor Meridian; Whole-Home Remodel Company Meridian Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Meridian Idaho; best whole-home remodel contractor in Meridian,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Meridian-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/whole-home-remodel/eagle,city-service,Eagle,Whole-Home Remodeling Eagle,Whole-Home Remodel Contractor Eagle; Whole-Home Remodel Company Eagle Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Eagle Idaho; best whole-home remodel contractor in Eagle,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Eagle-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/whole-home-remodel/nampa,city-service,Nampa,Whole-Home Remodeling Nampa,Whole-Home Remodel Contractor Nampa; Whole-Home Remodel Company Nampa Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Nampa Idaho; best whole-home remodel contractor in Nampa,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Nampa-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/whole-home-remodel/kuna,city-service,Kuna,Whole-Home Remodeling Kuna,Whole-Home Remodel Contractor Kuna; Whole-Home Remodel Company Kuna Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Kuna Idaho; best whole-home remodel contractor in Kuna,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Kuna proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/whole-home-remodel/star,city-service,Star,Whole-Home Remodeling Star,Whole-Home Remodel Contractor Star; Whole-Home Remodel Company Star Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Star Idaho; best whole-home remodel contractor in Star,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Star proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/whole-home-remodel/middleton,city-service,Middleton,Whole-Home Remodeling Middleton,Whole-Home Remodel Contractor Middleton; Whole-Home Remodel Company Middleton Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Middleton Idaho; best whole-home remodel contractor in Middleton,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Middleton proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/whole-home-remodel/caldwell,city-service,Caldwell,Whole-Home Remodeling Caldwell,Whole-Home Remodel Contractor Caldwell; Whole-Home Remodel Company Caldwell Idaho; Whole-Home Remodeling Near Me,how much does a whole-home remodel cost in Caldwell Idaho; best whole-home remodel contractor in Caldwell,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,4,8,High,Add Caldwell proof (testimonial/project) and a city-specific cost band; raise unique copy share above 50%
/services/room-addition/boise,city-service,Boise,Room Addition Boise,Room Addition Contractor Boise; Room Addition Company Boise Idaho; Room Addition Near Me,how much does a room addition cost in Boise Idaho; best room addition contractor in Boise,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Boise-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/room-addition/meridian,city-service,Meridian,Room Addition Meridian,Room Addition Contractor Meridian; Room Addition Company Meridian Idaho; Room Addition Near Me,how much does a room addition cost in Meridian Idaho; best room addition contractor in Meridian,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Meridian-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/room-addition/eagle,city-service,Eagle,Room Addition Eagle,Room Addition Contractor Eagle; Room Addition Company Eagle Idaho; Room Addition Near Me,how much does a room addition cost in Eagle Idaho; best room addition contractor in Eagle,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Eagle-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
/services/room-addition/nampa,city-service,Nampa,Room Addition Nampa,Room Addition Contractor Nampa; Room Addition Company Nampa Idaho; Room Addition Near Me,how much does a room addition cost in Nampa Idaho; best room addition contractor in Nampa,Commercial / Local,9,6,7,8,7,3,8,8,7,5,9,5,8,Medium,"Raise unique copy share: add Nampa-specific project narrative, cost band, and neighborhood-level detail beyond the template swaps"
